INFO - Start BaiduParkMakerWorker - 2015-08-26T10:20:24+08:00
name,addr,lat,lng,detail,price,prepaid
"上海市阳澄湖渡假村停车场","昆山市湖滨路附近（近昆山上海阳澄湖度假村）",31.45824114,120.84710412,"6元/小时","6元/小时",6
"源恺国际商业街-停车场","金高路1005号",31.28362022,121.61071033,"10元/小时","10元/小时",10
"停车场","广西北路144号180号",31.23183067,121.47865968,"10元/小时","10元/小时",10
"舒友停车场","洛川东路488号",31.26875004,121.45908033,"5元/小时","5元/小时",5
"兖矿能源科技停车场","张衡路998号",31.19009021,121.60604991,"5元/小时","5元/小时",5
"园林·上海格兰云天大酒店-停车场","百色路100",31.14397026,121.44788059,"4元/小时（24小时按8小时计算）；30元/天","4元/小时",4
"停车场","南门大街60弄1-10号",31.04356957,121.75560957,"10元/小时","10元/小时",10
"星之悦商务宾馆-停车场","晚霞路718号附近",31.1785599,121.75430998,"10元/小时","10元/小时",10
"南园宾馆-停车场","南门大街41号南园宾馆",31.04415028,121.75519932,"10元/小时","10元/小时",10
INFO - Finish! - 2015-08-26T10:21:18+08:00
