INFO - Start BaiduParkMakerWorker - 2015-08-26T10:20:24+08:00
name,addr,lat,lng,detail,price,prepaid
"老西门公馆-停车场","建国新路77弄",31.21402062,121.48178982,"20元/次","20元/次",20
"上海格澜国际大酒店-停车场","西藏南路567号",31.21986857,121.48256702,"9元/小时","9元/小时",9
"东海商业中心地下停车库","延安东路588-618号",31.23034952,121.48019994,"10元/小时；80元/天","10元/小时",10
"应氏大厦-地下停车库","天津路180",31.23833927,121.48269465,"首小时9元，首小时后4元/30分钟；70元/天；夜间（18：00-7：00）　5元/小时，封顶30元；23：00-7：00　封顶20元；1300元/月","5元/小时",9
"创兴金融中心车库","南京西路288",31.23261693,121.47025556,"首小时10元，首小时后5元/30分钟；80元/天","80元/天",10
"港陆黄浦中心-停车场","牛庄路809号",31.23679021,121.47513993,"10元/小时；80元/天；1400元/月","10元/小时",10
"中福-地下停车场","云南中路238弄6号",31.2331078,121.47740148,"10元/小时","10元/小时",10
"来福士广场停车场","西藏中路268",31.2330602,121.47636025,"10元/小时；80元/天","10元/小时",10
"豫园新开河停车场","宝带弄182号",31.22587984,121.49689963,"10元/小时","10元/小时",10
"上海新世界丽笙大酒店停车场","南京西路88号",31.23479993,121.47261645,"5分钟内免费；首小时9元，首小时后4元/30分钟；72元/天；2012：11：16-2013：6：30使用上海购物信用卡消费免费2小时；夜间（10：00-7：00）上海歌城免费3小时","72元/天",9
"中福城三期北楼-停车库","广西北路253号",31.23389947,121.47738072,"首小时10元，首小时后5元/30分钟；80元/天","80元/天",10
"上海交通大学医学院附属第九人民医院-停车场","制造局路639号",31.20312971,121.48536041,"5元/小时；40元/天","5元/小时",5
"六合路停车场","六合路85号99号",31.2363295,121.47467,"10元/小时；80元/天","10元/小时",10
"宏伊国际广场-停车场","南京东路299号宏伊国际广场内（河南中路口）",31.23704904,121.48420051,"15元/小时；120元/天","15元/小时",15
"外滩中心-停车场","江西中路39号55号",31.23202918,121.48775964,"地上：20元/小时；地下：15元/小时；160元/天；24小时按8小时计算","20元/小时",20
"外滩停车库","中山东一路49",31.23314937,121.49243944,"首小时10元，首小时后5元/30分钟；80元/天；1600元/月","80元/天",10
"福佑门商厦-地下车库","福佑路427号",31.22857538,121.48859122,"首小时10元，首小时后5元/30分钟；70元/天","70元/天",10
"上海人民广场-地下停车场","黄陂北路100号",31.22757978,121.47235029,"首小时10元，首小时后5元/30分钟；80元/天；1800元/月","80元/天",10
"申大厦-停车场","九江路277号",31.23644956,121.48482009,"10元/小时；24小时按8小时计算","10元/小时",10
"亚龙国际广场-停车场","金陵东路500号",31.22707946,121.47988949,"首小时10元，首小时后5元/30分钟；80元/天","80元/天",10
"豫园鄂尔多斯广场-停车场","福佑路333号",31.22802982,121.48990982,"10元/小时","10元/小时",10
"凤阳路停车场","凤阳路428号",31.23334962,121.46819079,"10元/小时","10元/小时",10
"音乐广场停车库","晋安路1",31.22654927,121.47652954,"首小时10元，首小时后5元/30分钟；80元/天；1000元/月","80元/天",10
"世界贸易大厦-停车场","广东路500号世界贸易大厦",31.23262029,121.48136131,"15分钟内免费；首小时10元，首小时后5元/30分钟；12小时后8元/小时","8元/小时",10
"沪南体育活动中心-停车场","方斜路515号",31.21282018,121.48286056,"5元/小时","5元/小时",5
